iter	Passed	Remaining
172	4955	23690
173	4980	23642
174	5006	23600
175	5031	23558
176	5058	23522
177	5085	23483
178	5110	23440
179	5134	23391
180	5158	23343
181	5186	23309
182	5211	23265
183	5236	23220
184	5260	23174
185	5284	23128
186	5308	23081
187	5333	23036
188	5358	22991
189	5384	22953
190	5409	22913
191	5433	22865
192	5460	22831
193	5484	22787
194	5508	22740
195	5534	22702
196	5559	22661
197	5585	22625
198	5610	22584
199	5635	22541
200	5661	22503
201	5686	22463
202	5710	22420
203	5734	22377
204	5759	22337
205	5783	22293
206	5808	22252
207	5832	22210
208	5856	22164
209	5880	22123
210	5906	22084
211	5932	22049
212	5956	22009
213	5981	21968
214	6005	21926
215	6028	21881
216	6053	21842
217	6080	21812
218	6106	21778
219	6144	21783
220	6176	21773
221	6205	21747
222	6232	21714
223	6259	21683
224	6286	21653
225	6312	21620
226	6339	21586
227	6364	21550
228	6390	21515
229	6421	21497
230	6448	21466
231	6476	21438
232	6500	21398
233	6523	21355
234	6546	21309
235	6573	21279
236	6597	21240
237	6621	21199
238	6645	21159
239	6669	21118
240	6692	21076
241	6715	21035
242	6743	21006
243	6768	20971
244	6791	20928
245	6815	20889
246	6840	20854
247	6867	20822
248	6892	20788
249	6917	20753
250	6943	20721
251	6968	20683
252	6993	20649
253	7018	20612
254	7043	20577
255	7066	20538
256	7091	20502
257	7116	20465
258	7141	20430
259	7165	20393
260	7192	20364
261	7219	20336
262	7247	20310
263	7276	20285
264	7303	20256
265	7331	20229
266	7359	20203
267	7387	20177
268	7416	20152
269	7445	20131
270	7475	20109
271	7504	20085
272	7533	20062
273	7563	20040
274	7596	20027
275	7630	20016
276	7663	20002
277	7696	19989
278	7729	19975
279	7760	19955
280	7795	19947
281	7824	19922
282	7853	19898
283	7885	19880
284	7931	19899
285	7963	19881
286	7993	19858
287	8021	19831
288	8049	19804
289	8078	19779
290	8114	19770
291	8143	19746
292	8171	19718
293	8202	19697
294	8232	19674
295	8262	19651
296	8293	19629
297	8326	19614
298	8356	19592
299	8387	19571
300	8415	19543
301	8447	19524
302	8475	19497
303	8509	19482
304	8540	19461
305	8569	19434
306	8597	19407
307	8624	19376
308	8650	19345
309	8678	19316
310	8707	19290
311	8735	19263
312	8764	19237
313	8799	19223
314	8830	19202
315	8862	19182
316	8889	19153
317	8916	19121
318	8943	19092
319	8974	19069
320	9002	19042
321	9028	19009
322	9053	18974
323	9078	18942
324	9106	18914
325	9135	18887
326	9164	18862
327	9193	18835
328	9221	18806
329	9250	18780
330	9277	18750
331	9303	18719
332	9329	18687
333	9356	18656
334	9381	18623
335	9407	18590
336	9433	18559
337	9459	18527
338	9485	18494
339	9511	18463
340	9537	18432
341	9563	18400
342	9588	18365
343	9613	18332
344	9641	18304
345	9665	18270
346	9689	18234
347	9712	18197
348	9740	18169
349	9763	18133
350	9787	18097
351	9812	18064
352	9838	18033
353	9863	17998
354	9888	17966
355	9911	17929
356	9935	17895
357	9961	17863
358	9987	17833
359	10014	17803
360	10039	17771
361	10063	17735
362	10089	17705
363	10115	17674
364	10141	17644
365	10167	17613
366	10195	17584
367	10220	17553
368	10246	17521
369	10270	17488
370	10296	17456
371	10323	17428
372	10352	17401
373	10378	17371
374	10403	17339
375	10431	17312
376	10459	17283
377	10485	17254
378	10510	17220
379	10534	17187
380	10562	17160
381	10588	17129
382	10636	17135
383	10670	17117
384	10697	17088
385	10722	17056
386	10748	17026
387	10773	16993
388	10798	16961
389	10822	16927
390	10848	16896
391	10874	16866
392	10899	16834
393	10925	16803
394	10950	16773
395	10975	16740
396	11002	16712
397	11025	16676
398	11049	16644
399	11072	16609
400	11102	16584
401	11127	16552
